"","group","Var1","Var2","r","adj.p","n","significant","label"
"205","KIRP","SBS13","Signature 2",0.03,0.917053259557773,31,0,"KIRP 
 (n=31)"
"206","KIRP","SBS15","Signature 2",0,1,1,NA,"KIRP 
 (n=1)"
"207","KIRP","SBS20","Signature 2",0,1,0,NA,"KIRP 
 (n=0)"
"208","KIRP","SBS44","Signature 2",0,1,0,NA,"KIRP 
 (n=0)"
"209","KIRP","SBS1","Signature 3",-0.19,0.395575615580051,79,0,"KIRP 
 (n=79)"
"210","KIRP","SBS2","Signature 3",0.03,0.917053259557773,47,0,"KIRP 
 (n=47)"
"211","KIRP","SBS3","Signature 3",0,0.395575615580051,4,0,"KIRP 
 (n=4)"
"212","KIRP","SBS4","Signature 3",0,1,0,NA,"KIRP 
 (n=0)"
"213","KIRP","SBS13","Signature 3",0.23,0.395575615580051,43,0,"KIRP 
 (n=43)"
"214","KIRP","SBS15","Signature 3",0,1,1,NA,"KIRP 
 (n=1)"
"215","KIRP","SBS20","Signature 3",0,1,0,NA,"KIRP 
 (n=0)"
"216","KIRP","SBS44","Signature 3",0,1,0,NA,"KIRP 
 (n=0)"
"217","KIRP","SBS1","Signature 4",0.03,0.917053259557773,77,0,"KIRP 
 (n=77)"
"218","KIRP","SBS2","Signature 4",0.28,0.395575615580051,50,0,"KIRP 
 (n=50)"
"219","KIRP","SBS3","Signature 4",0,0.395575615580051,5,0,"KIRP 
 (n=5)"
"220","KIRP","SBS4","Signature 4",0,1,0,NA,"KIRP 
 (n=0)"
"221","KIRP","SBS13","Signature 4",0.1,0.688133966548215,49,0,"KIRP 
 (n=49)"
"222","KIRP","SBS15","Signature 4",0,1,1,NA,"KIRP 
 (n=1)"
"223","KIRP","SBS20","Signature 4",0,1,1,NA,"KIRP 
 (n=1)"
"224","KIRP","SBS44","Signature 4",0,1,0,NA,"KIRP 
 (n=0)"
"225","LIHC","SBS1","Signature 1",-0.04,0.765118774651938,98,0,"LIHC 
 (n=98)"
"226","LIHC","SBS2","Signature 1",0,1,1,NA,"LIHC 
 (n=1)"
"227","LIHC","SBS3","Signature 1",0,1,0,NA,"LIHC 
 (n=0)"
"228","LIHC","SBS4","Signature 1",0,1,0,NA,"LIHC 
 (n=0)"
"229","LIHC","SBS13","Signature 1",0,1,0,NA,"LIHC 
 (n=0)"
"230","LIHC","SBS15","Signature 1",0,0,3,1,"LIHC 
 (n=3)"
"231","LIHC","SBS20","Signature 1",0,1,0,NA,"LIHC 
 (n=0)"
"232","LIHC","SBS44","Signature 1",0,1,0,NA,"LIHC 
 (n=0)"
"233","LIHC","SBS1","Signature 2",0.07,0.742434489648244,100,0,"LIHC 
 (n=100)"
"234","LIHC","SBS2","Signature 2",0,1,1,NA,"LIHC 
 (n=1)"
"235","LIHC","SBS3","Signature 2",0,1,0,NA,"LIHC 
 (n=0)"
"236","LIHC","SBS4","Signature 2",0,1,0,NA,"LIHC 
 (n=0)"
"237","LIHC","SBS13","Signature 2",0,1,0,NA,"LIHC 
 (n=0)"
"238","LIHC","SBS15","Signature 2",0,0,3,1,"LIHC 
 (n=3)"
"239","LIHC","SBS20","Signature 2",0,1,0,NA,"LIHC 
 (n=0)"
"240","LIHC","SBS44","Signature 2",0,1,0,NA,"LIHC 
 (n=0)"
"241","LIHC","SBS1","Signature 3",0.13,0.401770019859591,108,0,"LIHC 
 (n=108)"
"242","LIHC","SBS2","Signature 3",0,1,1,NA,"LIHC 
 (n=1)"
"243","LIHC","SBS3","Signature 3",0,1,0,NA,"LIHC 
 (n=0)"
"244","LIHC","SBS4","Signature 3",0,1,0,NA,"LIHC 
 (n=0)"
"245","LIHC","SBS13","Signature 3",0,1,0,NA,"LIHC 
 (n=0)"
"246","LIHC","SBS15","Signature 3",0,1,4,0,"LIHC 
 (n=4)"
"247","LIHC","SBS20","Signature 3",0,1,0,NA,"LIHC 
 (n=0)"
"248","LIHC","SBS44","Signature 3",0,1,0,NA,"LIHC 
 (n=0)"
"249","LIHC","SBS1","Signature 4",0.12,0.401770019859591,125,0,"LIHC 
 (n=125)"
"250","LIHC","SBS2","Signature 4",0,1,1,NA,"LIHC 
 (n=1)"
"251","LIHC","SBS3","Signature 4",0,1,0,NA,"LIHC 
 (n=0)"
"252","LIHC","SBS4","Signature 4",0,1,0,NA,"LIHC 
 (n=0)"
"253","LIHC","SBS13","Signature 4",0,1,0,NA,"LIHC 
 (n=0)"
"254","LIHC","SBS15","Signature 4",0,0.765118774651938,4,0,"LIHC 
 (n=4)"
"255","LIHC","SBS20","Signature 4",0,1,0,NA,"LIHC 
 (n=0)"
"256","LIHC","SBS44","Signature 4",0,1,0,NA,"LIHC 
 (n=0)"
"257","LUAD","SBS1","Signature 1",-0.07,0.596220087057092,103,0,"LUAD 
 (n=103)"
"258","LUAD","SBS2","Signature 1",0.18,0.190148621778913,80,0,"LUAD 
 (n=80)"
"259","LUAD","SBS3","Signature 1",0,1,0,NA,"LUAD 
 (n=0)"
"260","LUAD","SBS4","Signature 1",0.08,0.709357542045064,41,0,"LUAD 
 (n=41)"
"261","LUAD","SBS13","Signature 1",0.34,0.00438319727265385,76,1,"LUAD 
 (n=76)"
"262","LUAD","SBS15","Signature 1",0,1,2,NA,"LUAD 
 (n=2)"
"263","LUAD","SBS20","Signature 1",0,1,0,NA,"LUAD 
 (n=0)"
"264","LUAD","SBS44","Signature 1",0,1,0,NA,"LUAD 
 (n=0)"
"265","LUAD","SBS1","Signature 2",-0.01,0.999061950813376,161,0,"LUAD 
 (n=161)"
"266","LUAD","SBS2","Signature 2",0.31,0.000494187599019562,133,1,"LUAD 
 (n=133)"
"267","LUAD","SBS3","Signature 2",0,1,1,NA,"LUAD 
 (n=1)"
"268","LUAD","SBS4","Signature 2",0.34,0.00407678201359173,77,1,"LUAD 
 (n=77)"
"269","LUAD","SBS13","Signature 2",0.41,3.01173404286135e-06,132,1,"LUAD 
 (n=132)"
"270","LUAD","SBS15","Signature 2",0,1,5,0,"LUAD 
 (n=5)"
"271","LUAD","SBS20","Signature 2",0,1,0,NA,"LUAD 
 (n=0)"
"272","LUAD","SBS44","Signature 2",0,1,0,NA,"LUAD 
 (n=0)"
"273","LUAD","SBS1","Signature 3",0.05,0.596220087057092,197,0,"LUAD 
 (n=197)"
"274","LUAD","SBS2","Signature 3",0.54,2.53584500260669e-12,148,1,"LUAD 
 (n=148)"
"275","LUAD","SBS3","Signature 3",0,1,1,NA,"LUAD 
 (n=1)"
"276","LUAD","SBS4","Signature 3",0.69,6.02781801560659e-15,103,1,"LUAD 
 (n=103)"
"277","LUAD","SBS13","Signature 3",0.58,6.26952828772418e-14,145,1,"LUAD 
 (n=145)"
"278","LUAD","SBS15","Signature 3",0,0.579502130522539,6,0,"LUAD 
 (n=6)"
"279","LUAD","SBS20","Signature 3",0,1,0,NA,"LUAD 
 (n=0)"
"280","LUAD","SBS44","Signature 3",0,1,0,NA,"LUAD 
 (n=0)"
"281","LUAD","SBS1","Signature 4",0.03,0.709357542045064,196,0,"LUAD 
 (n=196)"
"282","LUAD","SBS2","Signature 4",0.62,9.22701361477521e-16,145,1,"LUAD 
 (n=145)"
"283","LUAD","SBS3","Signature 4",0,1,1,NA,"LUAD 
 (n=1)"
"284","LUAD","SBS4","Signature 4",0.84,2.08655298585865e-27,103,1,"LUAD 
 (n=103)"
"285","LUAD","SBS13","Signature 4",0.59,3.06149586287104e-14,142,1,"LUAD 
 (n=142)"
"286","LUAD","SBS15","Signature 4",0,0,4,1,"LUAD 
 (n=4)"
"287","LUAD","SBS20","Signature 4",0,1,0,NA,"LUAD 
 (n=0)"
"288","LUAD","SBS44","Signature 4",0,1,0,NA,"LUAD 
 (n=0)"
"289","LUSC","SBS1","Signature 1",0.19,0.190544776111763,78,0,"LUSC 
 (n=78)"
"290","LUSC","SBS2","Signature 1",0.14,0.291357348724354,81,0,"LUSC 
 (n=81)"
"291","LUSC","SBS3","Signature 1",0,1,0,NA,"LUSC 
 (n=0)"
"292","LUSC","SBS4","Signature 1",0,0.291357348724354,29,0,"LUSC 
 (n=29)"
"293","LUSC","SBS13","Signature 1",0.11,0.389438054005812,83,0,"LUSC 
 (n=83)"
"294","LUSC","SBS15","Signature 1",0,0.291357348724354,5,0,"LUSC 
 (n=5)"
"295","LUSC","SBS20","Signature 1",0,1,0,NA,"LUSC 
 (n=0)"
"296","LUSC","SBS44","Signature 1",0,1,0,NA,"LUSC 
 (n=0)"
"297","LUSC","SBS1","Signature 2",0.08,0.456505246006507,109,0,"LUSC 
 (n=109)"
"298","LUSC","SBS2","Signature 2",0.21,0.0809154429580053,110,0,"LUSC 
 (n=110)"
